Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,United Arab Emirates,United Arab Emirates,AE,293.27,391.13,21.16,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 01:00:00,United Arab Emirates,United Arab Emirates,AE,292.2,389.79,21.42,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 02:00:00,United Arab Emirates,United Arab Emirates,AE,291.21,388.73,21.65,0.54,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 03:00:00,United Arab Emirates,United Arab Emirates,AE,287.38,384.15,22.7,1.65,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 04:00:00,United Arab Emirates,United Arab Emirates,AE,283.19,379.37,23.81,3.57,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 05:00:00,United Arab Emirates,United Arab Emirates,AE,280.21,375.85,24.63,4.67,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 06:00:00,United Arab Emirates,United Arab Emirates,AE,267.68,361.17,27.94,9.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 07:00:00,United Arab Emirates,United Arab Emirates,AE,267.39,361.07,28.0,9.82,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 08:00:00,United Arab Emirates,United Arab Emirates,AE,263.33,356.24,29.08,10.88,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 09:00:00,United Arab Emirates,United Arab Emirates,AE,264.49,357.68,28.76,10.49,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 10:00:00,United Arab Emirates,United Arab Emirates,AE,272.18,367.1,26.67,8.93,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 11:00:00,United Arab Emirates,United Arab Emirates,AE,280.53,377.42,24.42,7.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 12:00:00,United Arab Emirates,United Arab Emirates,AE,303.33,405.17,18.25,2.15,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 13:00:00,United Arab Emirates,United Arab Emirates,AE,307.0,409.57,17.27,1.09,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 14:00:00,United Arab Emirates,United Arab Emirates,AE,308.91,411.81,16.77,0.41,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 15:00:00,United Arab Emirates,United Arab Emirates,AE,310.53,413.79,16.3,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 16:00:00,United Arab Emirates,United Arab Emirates,AE,308.92,411.67,16.76,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 17:00:00,United Arab Emirates,United Arab Emirates,AE,305.64,407.42,17.69,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 18:00:00,United Arab Emirates,United Arab Emirates,AE,301.08,401.52,18.95,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 19:00:00,United Arab Emirates,United Arab Emirates,AE,297.3,396.57,20.03,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 20:00:00,United Arab Emirates,United Arab Emirates,AE,295.83,394.7,20.43,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 21:00:00,United Arab Emirates,United Arab Emirates,AE,295.28,393.94,20.61,0.0,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
