Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Argentina,Argentina,AR,344.78,428.17,40.04,35.16,cammesaweb.cammesa.com,false,
2023-01-01 01:00:00,Argentina,Argentina,AR,361.89,448.21,37.06,31.57,cammesaweb.cammesa.com,false,
2023-01-01 02:00:00,Argentina,Argentina,AR,347.65,431.38,39.54,33.77,cammesaweb.cammesa.com,false,
2023-01-01 03:00:00,Argentina,Argentina,AR,361.31,447.62,37.16,31.16,cammesaweb.cammesa.com,false,
2023-01-01 04:00:00,Argentina,Argentina,AR,364.74,451.96,36.57,30.36,cammesaweb.cammesa.com,false,
2023-01-01 05:00:00,Argentina,Argentina,AR,365.22,452.53,36.48,30.42,cammesaweb.cammesa.com,false,
2023-01-01 06:00:00,Argentina,Argentina,AR,362.82,449.35,36.9,30.88,cammesaweb.cammesa.com,false,
2023-01-01 07:00:00,Argentina,Argentina,AR,363.5,450.15,36.78,30.76,cammesaweb.cammesa.com,false,
2023-01-01 08:00:00,Argentina,Argentina,AR,363.47,450.24,36.79,30.63,cammesaweb.cammesa.com,false,
2023-01-01 09:00:00,Argentina,Argentina,AR,349.18,433.4,39.27,32.78,cammesaweb.cammesa.com,false,
2023-01-01 10:00:00,Argentina,Argentina,AR,343.43,427.1,40.27,33.74,cammesaweb.cammesa.com,false,
2023-01-01 11:00:00,Argentina,Argentina,AR,330.1,412.19,42.59,36.12,cammesaweb.cammesa.com,false,
2023-01-01 12:00:00,Argentina,Argentina,AR,330.93,413.5,42.45,36.13,cammesaweb.cammesa.com,false,
2023-01-01 13:00:00,Argentina,Argentina,AR,342.7,427.48,40.4,34.14,cammesaweb.cammesa.com,false,
2023-01-01 14:00:00,Argentina,Argentina,AR,342.13,426.81,40.5,34.39,cammesaweb.cammesa.com,false,
2023-01-01 15:00:00,Argentina,Argentina,AR,355.65,442.8,38.15,32.16,cammesaweb.cammesa.com,false,
2023-01-01 16:00:00,Argentina,Argentina,AR,351.98,438.31,38.79,32.93,cammesaweb.cammesa.com,false,
2023-01-01 17:00:00,Argentina,Argentina,AR,351.66,437.93,38.84,32.99,cammesaweb.cammesa.com,false,
2023-01-01 18:00:00,Argentina,Argentina,AR,350.12,436.19,39.11,33.24,cammesaweb.cammesa.com,false,
2023-01-01 19:00:00,Argentina,Argentina,AR,357.33,444.82,37.86,31.95,cammesaweb.cammesa.com,false,
2023-01-01 20:00:00,Argentina,Argentina,AR,359.15,446.95,37.54,31.6,cammesaweb.cammesa.com,false,
2023-01-01 21:00:00,Argentina,Argentina,AR,365.43,453.98,36.45,30.44,cammesaweb.cammesa.com,false,
2023-01-01 22:00:00,Argentina,Argentina,AR,383.38,474.49,33.32,27.19,cammesaweb.cammesa.com,false,
2023-01-01 23:00:00,Argentina,Argentina,AR,390.24,482.26,32.13,26.17,cammesaweb.cammesa.com,false,
2023-01-02 00:00:00,Argentina,Argentina,AR,374.79,464.22,34.82,29.15,cammesaweb.cammesa.com,false,
2023-01-02 01:00:00,Argentina,Argentina,AR,376.25,465.83,34.57,28.9,cammesaweb.cammesa.com,false,
2023-01-02 02:00:00,Argentina,Argentina,AR,386.86,478.35,32.72,26.92,cammesaweb.cammesa.com,false,
2023-01-02 03:00:00,Argentina,Argentina,AR,392.08,484.54,31.81,25.82,cammesaweb.cammesa.com,false,
2023-01-02 04:00:00,Argentina,Argentina,AR,385.59,476.76,32.94,26.75,cammesaweb.cammesa.com,false,
2023-01-02 05:00:00,Argentina,Argentina,AR,371.67,460.17,35.36,28.94,cammesaweb.cammesa.com,false,
2023-01-02 06:00:00,Argentina,Argentina,AR,361.96,448.61,37.05,30.51,cammesaweb.cammesa.com,false,
2023-01-02 07:00:00,Argentina,Argentina,AR,365.42,452.96,36.45,29.83,cammesaweb.cammesa.com,false,
2023-01-02 08:00:00,Argentina,Argentina,AR,366.45,453.87,36.27,29.61,cammesaweb.cammesa.com,false,
2023-01-02 09:00:00,Argentina,Argentina,AR,351.97,436.44,38.79,32.08,cammesaweb.cammesa.com,false,
2023-01-02 10:00:00,Argentina,Argentina,AR,338.42,420.77,41.14,34.6,cammesaweb.cammesa.com,false,
2023-01-02 11:00:00,Argentina,Argentina,AR,325.09,405.95,43.46,37.3,cammesaweb.cammesa.com,false,
2023-01-02 12:00:00,Argentina,Argentina,AR,333.03,415.7,42.08,36.07,cammesaweb.cammesa.com,false,
2023-01-02 13:00:00,Argentina,Argentina,AR,328.48,410.43,42.87,37.06,cammesaweb.cammesa.com,false,
2023-01-02 14:00:00,Argentina,Argentina,AR,326.33,408.09,43.25,37.62,cammesaweb.cammesa.com,false,
2023-01-02 15:00:00,Argentina,Argentina,AR,323.6,404.84,43.72,38.27,cammesaweb.cammesa.com,false,
2023-01-02 16:00:00,Argentina,Argentina,AR,322.51,403.62,43.91,38.65,cammesaweb.cammesa.com,false,
2023-01-02 17:00:00,Argentina,Argentina,AR,323.7,405.09,43.7,38.58,cammesaweb.cammesa.com,false,
2023-01-02 18:00:00,Argentina,Argentina,AR,327.02,409.01,43.12,38.1,cammesaweb.cammesa.com,false,
2023-01-02 19:00:00,Argentina,Argentina,AR,332.73,415.64,42.13,37.15,cammesaweb.cammesa.com,false,
2023-01-02 20:00:00,Argentina,Argentina,AR,336.2,419.54,41.52,36.54,cammesaweb.cammesa.com,false,
2023-01-02 21:00:00,Argentina,Argentina,AR,340.21,424.1,40.83,35.67,cammesaweb.cammesa.com,false,
2023-01-02 22:00:00,Argentina,Argentina,AR,348.85,433.66,39.33,34.01,cammesaweb.cammesa.com,false,
2023-01-02 23:00:00,Argentina,Argentina,AR,349.26,434.13,39.26,34.06,cammesaweb.cammesa.com,false,
2023-01-03 00:00:00,Argentina,Argentina,AR,346.14,430.57,39.8,34.85,cammesaweb.cammesa.com,false,
2023-01-03 01:00:00,Argentina,Argentina,AR,345.94,430.06,39.84,34.8,cammesaweb.cammesa.com,false,
2023-01-03 02:00:00,Argentina,Argentina,AR,341.96,425.22,40.53,35.34,cammesaweb.cammesa.com,false,
2023-01-03 03:00:00,Argentina,Argentina,AR,350.86,435.87,38.98,33.55,cammesaweb.cammesa.com,false,
2023-01-03 04:00:00,Argentina,Argentina,AR,356.75,442.72,37.96,32.2,cammesaweb.cammesa.com,false,
2023-01-03 05:00:00,Argentina,Argentina,AR,354.4,439.97,38.37,32.35,cammesaweb.cammesa.com,false,
2023-01-03 06:00:00,Argentina,Argentina,AR,350.66,435.57,39.02,32.78,cammesaweb.cammesa.com,false,
2023-01-03 07:00:00,Argentina,Argentina,AR,350.68,435.68,39.01,32.62,cammesaweb.cammesa.com,false,
2023-01-03 08:00:00,Argentina,Argentina,AR,354.1,439.7,38.42,31.85,cammesaweb.cammesa.com,false,
2023-01-03 09:00:00,Argentina,Argentina,AR,356.84,443.05,37.94,31.31,cammesaweb.cammesa.com,false,
2023-01-03 10:00:00,Argentina,Argentina,AR,347.1,431.99,39.64,33.29,cammesaweb.cammesa.com,false,
2023-01-03 11:00:00,Argentina,Argentina,AR,337.1,421.02,41.37,35.44,cammesaweb.cammesa.com,false,
2023-01-03 12:00:00,Argentina,Argentina,AR,336.48,420.45,41.48,35.82,cammesaweb.cammesa.com,false,
2023-01-03 13:00:00,Argentina,Argentina,AR,337.95,422.17,41.23,35.79,cammesaweb.cammesa.com,false,
2023-01-03 14:00:00,Argentina,Argentina,AR,349.49,435.73,39.22,33.93,cammesaweb.cammesa.com,false,
2023-01-03 15:00:00,Argentina,Argentina,AR,358.82,446.82,37.6,32.44,cammesaweb.cammesa.com,false,
2023-01-03 16:00:00,Argentina,Argentina,AR,346.33,432.1,39.77,34.79,cammesaweb.cammesa.com,false,
2023-01-03 17:00:00,Argentina,Argentina,AR,333.49,416.99,42.0,37.2,cammesaweb.cammesa.com,false,
2023-01-03 18:00:00,Argentina,Argentina,AR,331.06,414.03,42.42,37.75,cammesaweb.cammesa.com,false,
2023-01-03 19:00:00,Argentina,Argentina,AR,331.24,414.19,42.39,37.73,cammesaweb.cammesa.com,false,
2023-01-03 20:00:00,Argentina,Argentina,AR,337.06,420.94,41.38,36.63,cammesaweb.cammesa.com,false,
2023-01-03 21:00:00,Argentina,Argentina,AR,353.65,440.42,38.5,33.54,cammesaweb.cammesa.com,false,
2023-01-03 22:00:00,Argentina,Argentina,AR,380.2,471.3,33.88,28.73,cammesaweb.cammesa.com,false,
2023-01-03 23:00:00,Argentina,Argentina,AR,391.9,484.73,31.84,26.78,cammesaweb.cammesa.com,false,
2023-01-04 00:00:00,Argentina,Argentina,AR,393.35,486.29,31.59,26.76,cammesaweb.cammesa.com,false,
2023-01-04 01:00:00,Argentina,Argentina,AR,389.21,481.29,32.31,27.36,cammesaweb.cammesa.com,false,
2023-01-04 02:00:00,Argentina,Argentina,AR,384.88,476.14,33.06,27.96,cammesaweb.cammesa.com,false,
2023-01-04 03:00:00,Argentina,Argentina,AR,387.87,479.68,32.54,27.17,cammesaweb.cammesa.com,false,
2023-01-04 04:00:00,Argentina,Argentina,AR,379.11,469.21,34.07,28.35,cammesaweb.cammesa.com,false,
2023-01-04 05:00:00,Argentina,Argentina,AR,363.68,450.9,36.75,30.81,cammesaweb.cammesa.com,false,
2023-01-04 06:00:00,Argentina,Argentina,AR,363.74,451.01,36.74,30.61,cammesaweb.cammesa.com,false,
2023-01-04 07:00:00,Argentina,Argentina,AR,356.63,442.62,37.98,31.77,cammesaweb.cammesa.com,false,
2023-01-04 08:00:00,Argentina,Argentina,AR,358.75,445.19,37.61,31.31,cammesaweb.cammesa.com,false,
