Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Australia,Australia,AU,289.33,339.57,60.56,60.56,,false,
2023-01-01 01:00:00,Australia,Australia,AU,281.89,331.87,61.69,61.69,,false,
2023-01-01 02:00:00,Australia,Australia,AU,292.72,342.9,60.4,60.4,,false,
2023-01-01 03:00:00,Australia,Australia,AU,300.78,351.42,59.2,59.2,,false,
2023-01-01 04:00:00,Australia,Australia,AU,318.01,369.07,56.76,56.76,,false,
2023-01-01 05:00:00,Australia,Australia,AU,336.05,387.96,53.74,53.74,,false,
2023-01-01 06:00:00,Australia,Australia,AU,366.01,419.52,48.79,48.79,,false,
2023-01-01 07:00:00,Australia,Australia,AU,390.27,444.21,44.42,44.42,,false,
2023-01-01 08:00:00,Australia,Australia,AU,433.26,487.97,37.31,37.31,,false,
2023-01-01 09:00:00,Australia,Australia,AU,465.0,519.54,32.52,32.52,,false,
2023-01-01 10:00:00,Australia,Australia,AU,473.14,527.68,31.15,31.15,,false,
2023-01-01 11:00:00,Australia,Australia,AU,479.02,532.87,30.78,30.78,,false,
2023-01-01 12:00:00,Australia,Australia,AU,497.27,549.71,29.75,29.75,,false,
2023-01-01 13:00:00,Australia,Australia,AU,510.55,562.27,28.99,28.99,,false,
2023-01-01 14:00:00,Australia,Australia,AU,509.33,560.62,29.36,29.36,,false,
2023-01-01 15:00:00,Australia,Australia,AU,508.55,559.23,29.65,29.65,,false,
2023-01-01 16:00:00,Australia,Australia,AU,511.32,561.69,29.39,29.39,,false,
2023-01-01 17:00:00,Australia,Australia,AU,519.6,570.19,28.45,28.45,,false,
2023-01-01 18:00:00,Australia,Australia,AU,515.66,565.81,29.07,29.07,,false,
2023-01-01 19:00:00,Australia,Australia,AU,522.95,574.08,28.09,28.09,,false,
2023-01-01 20:00:00,Australia,Australia,AU,477.45,529.16,34.3,34.3,,false,
2023-01-01 21:00:00,Australia,Australia,AU,395.96,446.36,45.75,45.75,,false,
2023-01-01 22:00:00,Australia,Australia,AU,356.1,405.85,51.59,51.59,,false,
2023-01-01 23:00:00,Australia,Australia,AU,311.06,360.34,57.67,57.67,,false,
2023-01-02 00:00:00,Australia,Australia,AU,293.73,343.07,60.09,60.09,,false,
2023-01-02 01:00:00,Australia,Australia,AU,281.24,330.51,61.8,61.8,,false,
2023-01-02 02:00:00,Australia,Australia,AU,283.74,333.3,61.4,61.4,,false,
2023-01-02 03:00:00,Australia,Australia,AU,294.91,344.79,59.96,59.96,,false,
2023-01-02 04:00:00,Australia,Australia,AU,296.08,345.43,59.74,59.74,,false,
2023-01-02 05:00:00,Australia,Australia,AU,317.06,366.14,56.81,56.81,,false,
2023-01-02 06:00:00,Australia,Australia,AU,367.27,417.77,49.53,49.53,,false,
2023-01-02 07:00:00,Australia,Australia,AU,414.73,466.44,42.55,42.55,,false,
2023-01-02 08:00:00,Australia,Australia,AU,464.89,517.87,34.79,34.79,,false,
2023-01-02 09:00:00,Australia,Australia,AU,493.42,546.66,30.34,30.34,,false,
2023-01-02 10:00:00,Australia,Australia,AU,511.69,566.33,27.22,27.22,,false,
2023-01-02 11:00:00,Australia,Australia,AU,524.39,579.98,25.3,25.3,,false,
2023-01-02 12:00:00,Australia,Australia,AU,532.53,587.67,24.77,24.77,,false,
2023-01-02 13:00:00,Australia,Australia,AU,538.54,593.67,24.15,24.15,,false,
2023-01-02 14:00:00,Australia,Australia,AU,546.14,601.64,23.21,23.21,,false,
2023-01-02 15:00:00,Australia,Australia,AU,550.15,605.64,22.89,22.89,,false,
2023-01-02 16:00:00,Australia,Australia,AU,553.37,608.43,22.82,22.82,,false,
