Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Brazil,Brazil,BR,65.66,100.07,88.58,85.89,,false,
2024-01-01 01:00:00,Brazil,Brazil,BR,60.15,93.6,89.54,86.64,,false,
2024-01-01 02:00:00,Brazil,Brazil,BR,60.37,93.89,89.5,86.44,,false,
2024-01-01 03:00:00,Brazil,Brazil,BR,62.17,96.04,89.19,86.03,,false,
2024-01-01 04:00:00,Brazil,Brazil,BR,61.25,95.0,89.35,86.2,,false,
2024-01-01 05:00:00,Brazil,Brazil,BR,60.75,94.4,89.43,86.27,,false,
2024-01-01 06:00:00,Brazil,Brazil,BR,60.45,94.11,89.49,86.28,,false,
2024-01-01 07:00:00,Brazil,Brazil,BR,61.22,94.99,89.35,86.1,,false,
2024-01-01 08:00:00,Brazil,Brazil,BR,62.44,96.44,89.14,85.8,,false,
2024-01-01 09:00:00,Brazil,Brazil,BR,64.47,99.76,88.79,85.35,,false,
2024-01-01 10:00:00,Brazil,Brazil,BR,65.22,102.36,88.66,85.2,,false,
2024-01-01 11:00:00,Brazil,Brazil,BR,64.91,103.54,88.71,85.27,,false,
2024-01-01 12:00:00,Brazil,Brazil,BR,64.35,103.83,88.81,85.4,,false,
2024-01-01 13:00:00,Brazil,Brazil,BR,63.69,103.67,88.92,85.57,,false,
2024-01-01 14:00:00,Brazil,Brazil,BR,62.68,102.69,89.1,85.79,,false,
2024-01-01 15:00:00,Brazil,Brazil,BR,62.95,103.04,89.05,85.75,,false,
2024-01-01 16:00:00,Brazil,Brazil,BR,63.9,104.08,88.89,85.57,,false,
2024-01-01 17:00:00,Brazil,Brazil,BR,64.38,104.35,88.8,85.46,,false,
2024-01-01 18:00:00,Brazil,Brazil,BR,63.93,102.84,88.88,85.55,,false,
2024-01-01 19:00:00,Brazil,Brazil,BR,62.54,99.49,89.12,85.85,,false,
2024-01-01 20:00:00,Brazil,Brazil,BR,60.8,95.89,89.43,86.25,,false,
2024-01-01 21:00:00,Brazil,Brazil,BR,57.64,91.17,89.98,86.96,,false,
2024-01-01 22:00:00,Brazil,Brazil,BR,53.82,86.37,90.64,87.83,,false,
2024-01-01 23:00:00,Brazil,Brazil,BR,51.24,83.41,91.09,88.4,,false,
2024-01-02 00:00:00,Brazil,Brazil,BR,51.72,83.9,91.0,88.32,,false,
2024-01-02 01:00:00,Brazil,Brazil,BR,52.55,84.68,90.86,88.14,,false,
2024-01-02 02:00:00,Brazil,Brazil,BR,54.03,86.29,90.6,87.8,,false,
2024-01-02 03:00:00,Brazil,Brazil,BR,56.1,88.74,90.24,87.33,,false,
2024-01-02 04:00:00,Brazil,Brazil,BR,58.69,91.75,89.79,86.73,,false,
2024-01-02 05:00:00,Brazil,Brazil,BR,60.08,93.38,89.55,86.4,,false,
2024-01-02 06:00:00,Brazil,Brazil,BR,60.89,94.31,89.41,86.21,,false,
2024-01-02 07:00:00,Brazil,Brazil,BR,61.12,94.56,89.37,86.15,,false,
2024-01-02 08:00:00,Brazil,Brazil,BR,61.73,95.43,89.26,86.03,,false,
2024-01-02 09:00:00,Brazil,Brazil,BR,60.68,95.3,89.45,86.27,,false,
2024-01-02 10:00:00,Brazil,Brazil,BR,57.22,92.98,90.05,87.06,,false,
2024-01-02 11:00:00,Brazil,Brazil,BR,53.49,89.8,90.7,87.91,,false,
2024-01-02 12:00:00,Brazil,Brazil,BR,50.78,87.34,91.17,88.48,,false,
2024-01-02 13:00:00,Brazil,Brazil,BR,49.19,85.96,91.44,88.83,,false,
2024-01-02 14:00:00,Brazil,Brazil,BR,48.51,85.34,91.56,88.99,,false,
2024-01-02 15:00:00,Brazil,Brazil,BR,49.11,86.1,91.46,88.86,,false,
2024-01-02 16:00:00,Brazil,Brazil,BR,48.69,85.4,91.53,88.96,,false,
2024-01-02 17:00:00,Brazil,Brazil,BR,47.83,83.81,91.68,89.17,,false,
2024-01-02 18:00:00,Brazil,Brazil,BR,48.44,83.56,91.58,89.09,,false,
2024-01-02 19:00:00,Brazil,Brazil,BR,49.48,83.5,91.39,88.9,,false,
2024-01-02 20:00:00,Brazil,Brazil,BR,51.96,85.15,90.96,88.39,,false,
2024-01-02 21:00:00,Brazil,Brazil,BR,54.85,87.65,90.46,87.84,,false,
2024-01-02 22:00:00,Brazil,Brazil,BR,58.17,91.34,89.88,87.37,,false,
2024-01-02 23:00:00,Brazil,Brazil,BR,58.44,91.66,89.84,87.37,,false,
2024-01-03 00:00:00,Brazil,Brazil,BR,58.61,91.86,89.81,87.34,,false,
2024-01-03 01:00:00,Brazil,Brazil,BR,59.52,92.89,89.65,87.12,,false,
2024-01-03 02:00:00,Brazil,Brazil,BR,56.03,88.79,90.26,87.63,,false,
2024-01-03 03:00:00,Brazil,Brazil,BR,53.46,85.79,90.7,88.0,,false,
