Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Switzerland,Switzerland,CH,60.24,90.66,92.59,61.5,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 01:00:00,Switzerland,Switzerland,CH,75.43,106.69,90.95,58.46,Electricity Maps Estimation,false,
2022-01-01 02:00:00,Switzerland,Switzerland,CH,76.94,108.47,90.74,57.4,Electricity Maps Estimation,false,
2022-01-01 03:00:00,Switzerland,Switzerland,CH,72.46,103.24,91.15,55.73,Electricity Maps Estimation,false,
2022-01-01 04:00:00,Switzerland,Switzerland,CH,77.2,108.67,90.62,54.96,Electricity Maps Estimation,false,
2022-01-01 05:00:00,Switzerland,Switzerland,CH,78.12,109.65,90.6,55.74,Electricity Maps Estimation,false,
2022-01-01 06:00:00,Switzerland,Switzerland,CH,75.38,106.05,91.02,56.1,Electricity Maps Estimation,false,
2022-01-01 07:00:00,Switzerland,Switzerland,CH,69.68,99.47,91.54,54.74,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 08:00:00,Switzerland,Switzerland,CH,67.69,97.36,91.76,55.64,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 09:00:00,Switzerland,Switzerland,CH,58.77,87.34,92.61,52.73,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 10:00:00,Switzerland,Switzerland,CH,41.67,67.0,94.51,49.69,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 11:00:00,Switzerland,Switzerland,CH,46.9,73.22,94.13,51.39,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 12:00:00,Switzerland,Switzerland,CH,40.95,65.76,94.81,46.33,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 13:00:00,Switzerland,Switzerland,CH,41.74,65.72,94.81,44.83,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 14:00:00,Switzerland,Switzerland,CH,44.99,68.66,94.43,44.17,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 15:00:00,Switzerland,Switzerland,CH,51.03,74.88,94.1,46.02,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 16:00:00,Switzerland,Switzerland,CH,51.2,75.26,94.38,51.43,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 17:00:00,Switzerland,Switzerland,CH,59.95,85.14,93.81,55.4,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 18:00:00,Switzerland,Switzerland,CH,75.05,102.14,92.27,56.39,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 19:00:00,Switzerland,Switzerland,CH,76.65,104.57,91.75,55.16,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 20:00:00,Switzerland,Switzerland,CH,71.1,98.84,91.94,53.43,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 21:00:00,Switzerland,Switzerland,CH,81.83,110.94,90.85,52.83,Electricity Maps Estimation,false,
2022-01-01 22:00:00,Switzerland,Switzerland,CH,76.47,106.07,90.95,51.99,Electricity Maps Estimation,false,
2022-01-01 23:00:00,Switzerland,Switzerland,CH,67.02,96.08,91.56,50.2,Electricity Maps Estimation,false,
2022-01-02 00:00:00,Switzerland,Switzerland,CH,71.28,101.07,91.17,50.87,Electricity Maps Estimation,false,
2022-01-02 01:00:00,Switzerland,Switzerland,CH,70.59,100.61,91.14,49.46,Electricity Maps Estimation,false,
2022-01-02 02:00:00,Switzerland,Switzerland,CH,68.93,98.9,91.31,49.49,Electricity Maps Estimation,false,
2022-01-02 03:00:00,Switzerland,Switzerland,CH,62.15,91.18,92.0,49.62,Electricity Maps Estimation,false,
2022-01-02 04:00:00,Switzerland,Switzerland,CH,59.93,88.38,92.16,49.09,Electricity Maps Estimation,false,
2022-01-02 05:00:00,Switzerland,Switzerland,CH,63.07,92.38,91.79,51.19,Electricity Maps Estimation,false,
2022-01-02 06:00:00,Switzerland,Switzerland,CH,63.34,93.06,91.9,54.45,Electricity Maps Estimation,false,
2022-01-02 07:00:00,Switzerland,Switzerland,CH,60.29,89.27,92.46,55.68,Electricity Maps Estimation,false,
2022-01-02 08:00:00,Switzerland,Switzerland,CH,55.2,83.46,93.09,57.07,Electricity Maps Estimation,false,
2022-01-02 09:00:00,Switzerland,Switzerland,CH,51.85,79.65,93.57,58.03,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-02 10:00:00,Switzerland,Switzerland,CH,46.34,73.02,94.08,54.57,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-02 11:00:00,Switzerland,Switzerland,CH,48.38,75.07,93.88,54.28,Electricity Maps Estimation,false,
2022-01-02 12:00:00,Switzerland,Switzerland,CH,39.76,64.7,94.8,52.05,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-02 13:00:00,Switzerland,Switzerland,CH,42.29,67.53,94.49,53.58,Electricity Maps Estimation,false,
2022-01-02 14:00:00,Switzerland,Switzerland,CH,41.86,66.84,94.5,53.7,Electricity Maps Estimation,false,
2022-01-02 15:00:00,Switzerland,Switzerland,CH,40.26,64.5,94.79,53.92,Electricity Maps Estimation,false,
2022-01-02 16:00:00,Switzerland,Switzerland,CH,33.97,57.27,95.58,55.5,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-02 17:00:00,Switzerland,Switzerland,CH,35.4,59.16,95.55,58.11,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-02 18:00:00,Switzerland,Switzerland,CH,38.59,63.21,95.1,58.29,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-02 19:00:00,Switzerland,Switzerland,CH,45.31,71.03,94.27,57.45,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-02 20:00:00,Switzerland,Switzerland,CH,50.68,77.28,93.64,56.81,Electricity Maps Estimation,false,
2022-01-02 21:00:00,Switzerland,Switzerland,CH,57.99,85.77,92.79,56.47,Electricity Maps Estimation,false,
2022-01-02 22:00:00,Switzerland,Switzerland,CH,61.71,90.28,92.35,56.0,Electricity Maps Estimation,false,
2022-01-02 23:00:00,Switzerland,Switzerland,CH,60.77,88.93,92.3,53.19,Electricity Maps Estimation,false,
2022-01-03 00:00:00,Switzerland,Switzerland,CH,56.89,84.21,92.71,50.05,Electricity Maps Estimation,false,
2022-01-03 01:00:00,Switzerland,Switzerland,CH,55.32,82.54,92.82,49.36,Electricity Maps Estimation,false,
2022-01-03 02:00:00,Switzerland,Switzerland,CH,54.92,82.16,92.74,49.0,Electricity Maps Estimation,false,
2022-01-03 03:00:00,Switzerland,Switzerland,CH,57.81,85.61,92.38,51.17,Electricity Maps Estimation,false,
2022-01-03 04:00:00,Switzerland,Switzerland,CH,63.82,92.15,91.78,53.23,Electricity Maps Estimation,false,
