Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Czechia,Czechia,CZ,460.5,481.86,54.78,10.14,ceps.cz,false,
2022-01-01 01:00:00,Czechia,Czechia,CZ,465.07,487.26,54.32,10.32,ceps.cz,false,
2022-01-01 02:00:00,Czechia,Czechia,CZ,465.95,488.39,54.28,10.18,ceps.cz,false,
2022-01-01 03:00:00,Czechia,Czechia,CZ,462.6,484.92,54.57,10.36,ceps.cz,false,
2022-01-01 04:00:00,Czechia,Czechia,CZ,465.46,486.93,54.75,10.06,ceps.cz,false,
2022-01-01 05:00:00,Czechia,Czechia,CZ,463.36,484.38,55.05,9.69,ceps.cz,false,
2022-01-01 06:00:00,Czechia,Czechia,CZ,449.02,468.81,56.39,9.17,ceps.cz,false,
2022-01-01 07:00:00,Czechia,Czechia,CZ,444.85,464.93,56.85,9.95,ceps.cz,false,
2022-01-01 08:00:00,Czechia,Czechia,CZ,454.55,474.52,55.9,10.48,ceps.cz,false,
2022-01-01 09:00:00,Czechia,Czechia,CZ,437.6,455.08,57.59,10.93,ceps.cz,false,
2022-01-01 10:00:00,Czechia,Czechia,CZ,433.18,449.85,58.02,10.83,ceps.cz,false,
2022-01-01 11:00:00,Czechia,Czechia,CZ,433.54,450.31,57.94,10.44,ceps.cz,false,
2022-01-01 12:00:00,Czechia,Czechia,CZ,432.68,449.28,57.98,9.74,ceps.cz,false,
2022-01-01 13:00:00,Czechia,Czechia,CZ,439.01,455.03,57.41,8.99,ceps.cz,false,
2022-01-01 14:00:00,Czechia,Czechia,CZ,449.47,465.79,56.54,7.61,ceps.cz,false,
2022-01-01 15:00:00,Czechia,Czechia,CZ,471.25,485.64,59.13,14.94,ceps.cz,false,
2022-01-01 16:00:00,Czechia,Czechia,CZ,483.28,498.3,58.78,16.72,ceps.cz,false,
2022-01-01 17:00:00,Czechia,Czechia,CZ,476.46,491.75,59.27,16.62,ceps.cz,false,
2022-01-01 18:00:00,Czechia,Czechia,CZ,481.93,498.68,58.72,16.89,ceps.cz,false,
2022-01-01 19:00:00,Czechia,Czechia,CZ,482.32,499.19,58.38,15.81,ceps.cz,false,
2022-01-01 20:00:00,Czechia,Czechia,CZ,475.55,494.46,57.04,12.54,ceps.cz,false,
2022-01-01 21:00:00,Czechia,Czechia,CZ,481.1,498.25,57.29,12.77,ceps.cz,false,
2022-01-01 22:00:00,Czechia,Czechia,CZ,457.44,474.13,56.49,8.58,ceps.cz,false,
2022-01-01 23:00:00,Czechia,Czechia,CZ,463.33,484.52,54.92,9.23,ceps.cz,false,
2022-01-02 00:00:00,Czechia,Czechia,CZ,468.38,488.87,54.51,8.2,ceps.cz,false,
2022-01-02 01:00:00,Czechia,Czechia,CZ,463.97,485.35,54.86,9.49,ceps.cz,false,
2022-01-02 02:00:00,Czechia,Czechia,CZ,445.85,468.11,56.51,11.27,ceps.cz,false,
2022-01-02 03:00:00,Czechia,Czechia,CZ,437.91,459.83,57.24,11.27,ceps.cz,false,
2022-01-02 04:00:00,Czechia,Czechia,CZ,444.94,466.44,56.55,11.49,ceps.cz,false,
2022-01-02 05:00:00,Czechia,Czechia,CZ,434.75,458.09,57.46,13.45,ceps.cz,false,
2022-01-02 06:00:00,Czechia,Czechia,CZ,430.91,455.88,57.76,15.45,ceps.cz,false,
2022-01-02 07:00:00,Czechia,Czechia,CZ,423.85,450.56,58.4,18.25,ceps.cz,false,
2022-01-02 08:00:00,Czechia,Czechia,CZ,408.81,435.09,60.01,20.03,ceps.cz,false,
2022-01-02 09:00:00,Czechia,Czechia,CZ,388.6,415.34,61.9,23.24,ceps.cz,false,
2022-01-02 10:00:00,Czechia,Czechia,CZ,366.72,393.29,63.82,26.15,ceps.cz,false,
2022-01-02 11:00:00,Czechia,Czechia,CZ,368.14,394.34,63.68,25.87,ceps.cz,false,
2022-01-02 12:00:00,Czechia,Czechia,CZ,372.05,397.97,63.25,25.7,ceps.cz,false,
2022-01-02 13:00:00,Czechia,Czechia,CZ,382.07,408.92,62.27,25.07,ceps.cz,false,
2022-01-02 14:00:00,Czechia,Czechia,CZ,381.45,406.8,63.7,27.32,ceps.cz,false,
2022-01-02 15:00:00,Czechia,Czechia,CZ,398.93,422.41,64.66,30.38,ceps.cz,false,
2022-01-02 16:00:00,Czechia,Czechia,CZ,416.34,439.26,63.72,30.1,ceps.cz,false,
2022-01-02 17:00:00,Czechia,Czechia,CZ,407.73,430.18,64.17,30.34,ceps.cz,false,
2022-01-02 18:00:00,Czechia,Czechia,CZ,403.92,428.22,62.83,28.49,ceps.cz,false,
2022-01-02 19:00:00,Czechia,Czechia,CZ,390.45,416.36,62.14,26.41,ceps.cz,false,
2022-01-02 20:00:00,Czechia,Czechia,CZ,385.34,410.35,62.29,24.24,ceps.cz,false,
2022-01-02 21:00:00,Czechia,Czechia,CZ,402.01,426.22,60.89,21.6,ceps.cz,false,
2022-01-02 22:00:00,Czechia,Czechia,CZ,395.29,417.68,61.18,19.1,ceps.cz,false,
2022-01-02 23:00:00,Czechia,Czechia,CZ,390.6,411.38,61.61,17.7,ceps.cz,false,
2022-01-03 00:00:00,Czechia,Czechia,CZ,387.61,409.36,61.85,18.63,ceps.cz,false,
2022-01-03 01:00:00,Czechia,Czechia,CZ,389.4,410.69,61.69,17.84,ceps.cz,false,
2022-01-03 02:00:00,Czechia,Czechia,CZ,393.03,413.71,61.38,16.59,ceps.cz,false,
2022-01-03 03:00:00,Czechia,Czechia,CZ,403.82,424.49,60.41,16.27,ceps.cz,false,
2022-01-03 04:00:00,Czechia,Czechia,CZ,439.35,462.16,57.09,16.69,ceps.cz,false,
2022-01-03 05:00:00,Czechia,Czechia,CZ,448.33,474.22,56.14,20.49,ceps.cz,false,
2022-01-03 06:00:00,Czechia,Czechia,CZ,480.89,507.14,53.79,19.8,ceps.cz,false,
2022-01-03 07:00:00,Czechia,Czechia,CZ,491.08,516.19,53.37,20.79,ceps.cz,false,
2022-01-03 08:00:00,Czechia,Czechia,CZ,482.89,508.71,53.71,22.18,ceps.cz,false,
2022-01-03 09:00:00,Czechia,Czechia,CZ,460.22,485.3,55.7,23.87,ceps.cz,false,
2022-01-03 10:00:00,Czechia,Czechia,CZ,471.73,496.06,55.03,23.18,ceps.cz,false,
2022-01-03 11:00:00,Czechia,Czechia,CZ,484.76,509.6,53.12,21.23,ceps.cz,false,
2022-01-03 12:00:00,Czechia,Czechia,CZ,495.16,519.86,52.09,20.04,ceps.cz,false,
2022-01-03 13:00:00,Czechia,Czechia,CZ,510.38,535.65,50.55,18.05,ceps.cz,false,
2022-01-03 14:00:00,Czechia,Czechia,CZ,521.1,547.04,49.7,17.18,ceps.cz,false,
2022-01-03 15:00:00,Czechia,Czechia,CZ,527.79,553.65,50.77,19.76,ceps.cz,false,
