Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Egypt,Egypt,EG,356.23,471.66,4.58,4.58,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 01:00:00,Egypt,Egypt,EG,356.43,471.91,4.56,4.56,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 02:00:00,Egypt,Egypt,EG,356.22,471.63,4.63,4.63,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 03:00:00,Egypt,Egypt,EG,352.9,467.57,5.5,5.5,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 04:00:00,Egypt,Egypt,EG,351.28,465.56,5.91,5.91,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 05:00:00,Egypt,Egypt,EG,348.53,462.22,6.58,6.58,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 06:00:00,Egypt,Egypt,EG,333.33,443.76,10.8,10.8,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 07:00:00,Egypt,Egypt,EG,330.89,440.98,11.47,11.47,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 08:00:00,Egypt,Egypt,EG,328.05,437.61,12.26,12.26,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 09:00:00,Egypt,Egypt,EG,329.79,439.89,11.77,11.77,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 10:00:00,Egypt,Egypt,EG,327.28,436.81,12.45,12.45,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 11:00:00,Egypt,Egypt,EG,330.05,440.21,11.68,11.68,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 12:00:00,Egypt,Egypt,EG,333.17,444.07,10.76,10.76,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 13:00:00,Egypt,Egypt,EG,331.12,441.26,11.35,11.35,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 14:00:00,Egypt,Egypt,EG,336.86,448.0,9.74,9.74,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 15:00:00,Egypt,Egypt,EG,342.82,455.09,8.14,8.14,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 16:00:00,Egypt,Egypt,EG,341.97,453.9,8.34,8.34,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2021-01-01 17:00:00,Egypt,Egypt,EG,342.53,454.57,8.18,8.18,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
