Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Spain,Spain,ES,79.5,110.37,84.15,50.75,entsoe.eu,false,
2023-01-01 01:00:00,Spain,Spain,ES,82.6,113.78,83.72,49.24,entsoe.eu,false,
2023-01-01 02:00:00,Spain,Spain,ES,83.21,114.29,83.75,47.23,entsoe.eu,false,
2023-01-01 03:00:00,Spain,Spain,ES,83.56,114.92,83.74,45.71,entsoe.eu,false,
2023-01-01 04:00:00,Spain,Spain,ES,84.07,115.32,83.73,44.1,entsoe.eu,false,
2023-01-01 05:00:00,Spain,Spain,ES,83.79,114.7,83.88,43.7,entsoe.eu,false,
2023-01-01 06:00:00,Spain,Spain,ES,82.87,113.37,84.08,44.96,entsoe.eu,false,
2023-01-01 07:00:00,Spain,Spain,ES,85.33,116.47,83.54,44.09,entsoe.eu,false,
2023-01-01 08:00:00,Spain,Spain,ES,85.71,116.97,83.48,45.25,entsoe.eu,false,
2023-01-01 09:00:00,Spain,Spain,ES,78.6,108.97,84.98,51.73,entsoe.eu,false,
2023-01-01 10:00:00,Spain,Spain,ES,79.12,110.47,84.96,57.25,entsoe.eu,false,
2023-01-01 11:00:00,Spain,Spain,ES,73.63,104.46,85.98,59.96,entsoe.eu,false,
2023-01-01 12:00:00,Spain,Spain,ES,69.35,99.49,87.02,61.83,entsoe.eu,false,
2023-01-01 13:00:00,Spain,Spain,ES,72.44,103.09,86.51,61.65,entsoe.eu,false,
2023-01-01 14:00:00,Spain,Spain,ES,73.6,104.31,86.2,60.64,entsoe.eu,false,
2023-01-01 15:00:00,Spain,Spain,ES,80.81,112.69,84.51,58.08,entsoe.eu,false,
2023-01-01 16:00:00,Spain,Spain,ES,82.38,113.83,83.81,56.58,entsoe.eu,false,
2023-01-01 17:00:00,Spain,Spain,ES,66.77,93.21,87.67,62.22,entsoe.eu,false,
2023-01-01 18:00:00,Spain,Spain,ES,61.21,85.11,89.47,65.41,entsoe.eu,false,
2023-01-01 19:00:00,Spain,Spain,ES,61.43,84.38,89.76,66.45,entsoe.eu,false,
2023-01-01 20:00:00,Spain,Spain,ES,62.6,84.79,89.8,66.91,entsoe.eu,false,
2023-01-01 21:00:00,Spain,Spain,ES,59.88,83.27,89.67,66.06,entsoe.eu,false,
2023-01-01 22:00:00,Spain,Spain,ES,61.4,86.55,88.85,64.07,entsoe.eu,false,
2023-01-01 23:00:00,Spain,Spain,ES,71.2,99.5,86.16,60.67,entsoe.eu,false,
2023-01-02 00:00:00,Spain,Spain,ES,80.23,110.78,83.84,58.65,entsoe.eu,false,
2023-01-02 01:00:00,Spain,Spain,ES,84.4,115.99,82.9,56.73,entsoe.eu,false,
2023-01-02 02:00:00,Spain,Spain,ES,87.31,119.26,82.56,54.83,entsoe.eu,false,
2023-01-02 03:00:00,Spain,Spain,ES,91.88,125.19,81.54,53.36,entsoe.eu,false,
2023-01-02 04:00:00,Spain,Spain,ES,100.44,136.46,79.52,51.26,entsoe.eu,false,
2023-01-02 05:00:00,Spain,Spain,ES,108.4,146.63,77.61,49.57,entsoe.eu,false,
2023-01-02 06:00:00,Spain,Spain,ES,126.44,169.76,72.95,45.52,entsoe.eu,false,
2023-01-02 07:00:00,Spain,Spain,ES,136.84,180.76,71.18,45.76,entsoe.eu,false,
2023-01-02 08:00:00,Spain,Spain,ES,142.74,187.83,70.13,45.62,entsoe.eu,false,
2023-01-02 09:00:00,Spain,Spain,ES,141.99,186.54,70.7,47.42,entsoe.eu,false,
2023-01-02 10:00:00,Spain,Spain,ES,142.1,186.17,71.1,48.11,entsoe.eu,false,
2023-01-02 11:00:00,Spain,Spain,ES,138.91,182.81,71.79,48.79,entsoe.eu,false,
2023-01-02 12:00:00,Spain,Spain,ES,133.59,176.94,72.85,49.99,entsoe.eu,false,
2023-01-02 13:00:00,Spain,Spain,ES,132.95,175.68,73.17,50.44,entsoe.eu,false,
2023-01-02 14:00:00,Spain,Spain,ES,138.44,180.63,72.44,49.29,entsoe.eu,false,
2023-01-02 15:00:00,Spain,Spain,ES,143.03,185.39,71.58,48.09,entsoe.eu,false,
2023-01-02 16:00:00,Spain,Spain,ES,156.32,200.74,68.77,44.42,entsoe.eu,false,
2023-01-02 17:00:00,Spain,Spain,ES,161.5,206.58,67.58,43.06,entsoe.eu,false,
2023-01-02 18:00:00,Spain,Spain,ES,154.75,199.31,68.6,43.02,entsoe.eu,false,
2023-01-02 19:00:00,Spain,Spain,ES,147.02,189.95,70.28,42.86,entsoe.eu,false,
2023-01-02 20:00:00,Spain,Spain,ES,142.0,183.38,71.45,44.0,entsoe.eu,false,
