Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Finland,Finland,FI,149.89,184.81,74.2,40.47,entsoe.eu,false,
2021-01-01 01:00:00,Finland,Finland,FI,152.81,188.22,73.68,39.72,entsoe.eu,false,
2021-01-01 02:00:00,Finland,Finland,FI,153.02,188.29,73.64,39.81,entsoe.eu,false,
2021-01-01 03:00:00,Finland,Finland,FI,153.03,188.35,73.64,39.78,entsoe.eu,false,
2021-01-01 04:00:00,Finland,Finland,FI,151.41,186.62,73.95,40.0,entsoe.eu,false,
2021-01-01 05:00:00,Finland,Finland,FI,151.61,186.85,74.16,40.46,entsoe.eu,false,
2021-01-01 06:00:00,Finland,Finland,FI,149.37,184.71,74.61,41.31,entsoe.eu,false,
2021-01-01 07:00:00,Finland,Finland,FI,152.19,187.85,74.22,41.26,entsoe.eu,false,
2021-01-01 08:00:00,Finland,Finland,FI,157.09,193.24,73.47,40.66,entsoe.eu,false,
2021-01-01 09:00:00,Finland,Finland,FI,152.89,188.6,74.32,41.8,entsoe.eu,false,
2021-01-01 10:00:00,Finland,Finland,FI,156.59,192.79,74.05,41.67,entsoe.eu,false,
2021-01-01 11:00:00,Finland,Finland,FI,159.48,196.45,73.66,41.38,entsoe.eu,false,
2021-01-01 12:00:00,Finland,Finland,FI,157.66,194.5,73.91,42.28,entsoe.eu,false,
2021-01-01 13:00:00,Finland,Finland,FI,153.24,189.56,74.73,43.46,entsoe.eu,false,
2021-01-01 14:00:00,Finland,Finland,FI,152.07,188.78,74.67,44.18,entsoe.eu,false,
2021-01-01 15:00:00,Finland,Finland,FI,154.63,191.43,74.2,43.86,entsoe.eu,false,
2021-01-01 16:00:00,Finland,Finland,FI,154.75,191.41,74.38,43.98,entsoe.eu,false,
2021-01-01 17:00:00,Finland,Finland,FI,153.24,189.5,74.85,43.81,entsoe.eu,false,
2021-01-01 18:00:00,Finland,Finland,FI,152.07,188.13,74.95,43.46,entsoe.eu,false,
2021-01-01 19:00:00,Finland,Finland,FI,149.3,185.28,75.08,42.57,entsoe.eu,false,
2021-01-01 20:00:00,Finland,Finland,FI,141.7,176.98,76.2,42.87,entsoe.eu,false,
2021-01-01 21:00:00,Finland,Finland,FI,139.98,175.16,76.36,42.18,entsoe.eu,false,
2021-01-01 22:00:00,Finland,Finland,FI,145.07,180.71,75.41,40.59,entsoe.eu,false,
2021-01-01 23:00:00,Finland,Finland,FI,148.8,184.64,75.14,39.31,entsoe.eu,false,
2021-01-02 00:00:00,Finland,Finland,FI,152.66,189.01,74.56,38.13,entsoe.eu,false,
2021-01-02 01:00:00,Finland,Finland,FI,156.63,193.43,73.99,36.56,entsoe.eu,false,
2021-01-02 02:00:00,Finland,Finland,FI,157.23,194.18,73.8,36.46,entsoe.eu,false,
2021-01-02 03:00:00,Finland,Finland,FI,152.3,189.0,74.64,38.36,entsoe.eu,false,
2021-01-02 04:00:00,Finland,Finland,FI,151.13,187.74,74.64,39.33,entsoe.eu,false,
2021-01-02 05:00:00,Finland,Finland,FI,150.52,187.59,74.62,39.36,entsoe.eu,false,
2021-01-02 06:00:00,Finland,Finland,FI,148.43,185.39,74.98,40.47,entsoe.eu,false,
2021-01-02 07:00:00,Finland,Finland,FI,152.14,190.34,74.15,39.68,entsoe.eu,false,
2021-01-02 08:00:00,Finland,Finland,FI,155.1,193.7,73.82,39.62,entsoe.eu,false,
2021-01-02 09:00:00,Finland,Finland,FI,154.7,193.08,73.93,40.8,entsoe.eu,false,
2021-01-02 10:00:00,Finland,Finland,FI,158.97,197.92,73.21,40.9,entsoe.eu,false,
2021-01-02 11:00:00,Finland,Finland,FI,159.54,198.34,73.13,41.43,entsoe.eu,false,
2021-01-02 12:00:00,Finland,Finland,FI,158.08,196.77,73.41,42.47,entsoe.eu,false,
2021-01-02 13:00:00,Finland,Finland,FI,156.04,194.72,73.75,43.68,entsoe.eu,false,
2021-01-02 14:00:00,Finland,Finland,FI,156.34,195.0,74.01,43.98,entsoe.eu,false,
2021-01-02 15:00:00,Finland,Finland,FI,160.0,198.94,73.57,43.88,entsoe.eu,false,
2021-01-02 16:00:00,Finland,Finland,FI,158.04,196.72,73.78,44.28,entsoe.eu,false,
2021-01-02 17:00:00,Finland,Finland,FI,157.72,196.35,73.72,43.95,entsoe.eu,false,
2021-01-02 18:00:00,Finland,Finland,FI,158.21,197.05,73.49,42.84,entsoe.eu,false,
2021-01-02 19:00:00,Finland,Finland,FI,157.78,196.47,73.56,41.5,entsoe.eu,false,
2021-01-02 20:00:00,Finland,Finland,FI,150.85,188.81,74.52,42.84,entsoe.eu,false,
2021-01-02 21:00:00,Finland,Finland,FI,151.63,189.39,74.57,41.92,entsoe.eu,false,
2021-01-02 22:00:00,Finland,Finland,FI,152.11,189.38,74.77,40.75,entsoe.eu,false,
2021-01-02 23:00:00,Finland,Finland,FI,146.62,182.13,75.93,42.43,entsoe.eu,false,
2021-01-03 00:00:00,Finland,Finland,FI,150.79,187.29,75.16,40.68,entsoe.eu,false,
2021-01-03 01:00:00,Finland,Finland,FI,156.8,194.51,74.18,38.5,entsoe.eu,false,
2021-01-03 02:00:00,Finland,Finland,FI,158.37,196.16,73.92,38.1,entsoe.eu,false,
2021-01-03 03:00:00,Finland,Finland,FI,155.88,193.46,74.35,39.4,entsoe.eu,false,
2021-01-03 04:00:00,Finland,Finland,FI,151.99,188.97,75.04,41.21,entsoe.eu,false,
2021-01-03 05:00:00,Finland,Finland,FI,157.51,195.62,73.92,40.29,entsoe.eu,false,
2021-01-03 06:00:00,Finland,Finland,FI,155.97,194.14,73.96,41.47,entsoe.eu,false,
2021-01-03 07:00:00,Finland,Finland,FI,156.16,194.63,73.88,41.8,entsoe.eu,false,
2021-01-03 08:00:00,Finland,Finland,FI,156.88,195.43,73.77,42.24,entsoe.eu,false,
2021-01-03 09:00:00,Finland,Finland,FI,155.76,194.23,73.94,43.04,entsoe.eu,false,
2021-01-03 10:00:00,Finland,Finland,FI,153.95,192.27,74.22,43.57,entsoe.eu,false,
2021-01-03 11:00:00,Finland,Finland,FI,152.29,189.89,74.71,44.29,entsoe.eu,false,
2021-01-03 12:00:00,Finland,Finland,FI,151.53,189.24,74.76,44.31,entsoe.eu,false,
2021-01-03 13:00:00,Finland,Finland,FI,148.3,185.91,75.27,44.29,entsoe.eu,false,
2021-01-03 14:00:00,Finland,Finland,FI,145.27,182.76,75.67,45.42,entsoe.eu,false,
2021-01-03 15:00:00,Finland,Finland,FI,145.35,182.82,75.58,45.83,entsoe.eu,false,
2021-01-03 16:00:00,Finland,Finland,FI,145.64,183.07,75.48,45.9,entsoe.eu,false,
2021-01-03 17:00:00,Finland,Finland,FI,145.39,183.14,75.45,45.33,entsoe.eu,false,
2021-01-03 18:00:00,Finland,Finland,FI,145.45,182.55,75.76,45.4,entsoe.eu,false,
2021-01-03 19:00:00,Finland,Finland,FI,148.87,186.39,75.39,43.86,entsoe.eu,false,
2021-01-03 20:00:00,Finland,Finland,FI,145.47,182.48,75.89,44.68,entsoe.eu,false,
2021-01-03 21:00:00,Finland,Finland,FI,147.76,184.6,75.83,43.47,entsoe.eu,false,
2021-01-03 22:00:00,Finland,Finland,FI,150.13,187.47,75.39,42.5,entsoe.eu,false,
2021-01-03 23:00:00,Finland,Finland,FI,158.08,196.75,73.99,39.29,entsoe.eu,false,
2021-01-04 00:00:00,Finland,Finland,FI,159.93,198.9,73.62,38.42,entsoe.eu,false,
2021-01-04 01:00:00,Finland,Finland,FI,160.54,199.78,73.54,38.08,entsoe.eu,false,
2021-01-04 02:00:00,Finland,Finland,FI,161.4,200.16,73.45,38.33,entsoe.eu,false,
2021-01-04 03:00:00,Finland,Finland,FI,158.67,196.99,73.72,39.92,entsoe.eu,false,
2021-01-04 04:00:00,Finland,Finland,FI,155.0,194.42,73.86,40.43,entsoe.eu,false,
2021-01-04 05:00:00,Finland,Finland,FI,159.33,199.09,73.19,41.95,entsoe.eu,false,
2021-01-04 06:00:00,Finland,Finland,FI,167.15,205.62,72.58,43.31,entsoe.eu,false,
2021-01-04 07:00:00,Finland,Finland,FI,175.04,214.91,71.9,43.16,entsoe.eu,false,
2021-01-04 08:00:00,Finland,Finland,FI,170.43,209.19,72.52,43.71,entsoe.eu,false,
2021-01-04 09:00:00,Finland,Finland,FI,172.24,211.3,72.35,43.64,entsoe.eu,false,
2021-01-04 10:00:00,Finland,Finland,FI,177.75,218.17,71.62,42.65,entsoe.eu,false,
2021-01-04 11:00:00,Finland,Finland,FI,176.56,217.85,71.59,42.38,entsoe.eu,false,
2021-01-04 12:00:00,Finland,Finland,FI,177.89,219.76,71.36,42.56,entsoe.eu,false,
2021-01-04 13:00:00,Finland,Finland,FI,179.25,221.16,71.25,42.66,entsoe.eu,false,
2021-01-04 14:00:00,Finland,Finland,FI,179.5,221.22,71.23,42.96,entsoe.eu,false,
2021-01-04 15:00:00,Finland,Finland,FI,182.27,224.1,70.86,42.37,entsoe.eu,false,
2021-01-04 16:00:00,Finland,Finland,FI,183.24,225.12,70.77,42.66,entsoe.eu,false,
2021-01-04 17:00:00,Finland,Finland,FI,184.68,226.62,70.44,41.86,entsoe.eu,false,
2021-01-04 18:00:00,Finland,Finland,FI,177.01,218.14,71.56,42.03,entsoe.eu,false,
2021-01-04 19:00:00,Finland,Finland,FI,168.63,209.23,72.38,41.72,entsoe.eu,false,
2021-01-04 20:00:00,Finland,Finland,FI,164.57,204.58,72.91,42.14,entsoe.eu,false,
2021-01-04 21:00:00,Finland,Finland,FI,165.82,206.11,72.76,40.54,entsoe.eu,false,
2021-01-04 22:00:00,Finland,Finland,FI,165.23,205.23,73.03,39.27,entsoe.eu,false,
2021-01-04 23:00:00,Finland,Finland,FI,161.82,201.68,73.29,38.41,entsoe.eu,false,
2021-01-05 00:00:00,Finland,Finland,FI,156.51,195.68,74.0,39.96,entsoe.eu,false,
2021-01-05 01:00:00,Finland,Finland,FI,157.89,197.02,73.8,39.42,entsoe.eu,false,
2021-01-05 02:00:00,Finland,Finland,FI,158.39,197.44,73.71,39.56,entsoe.eu,false,
2021-01-05 03:00:00,Finland,Finland,FI,158.2,197.33,73.82,40.36,entsoe.eu,false,
2021-01-05 04:00:00,Finland,Finland,FI,167.41,208.18,72.28,39.83,entsoe.eu,false,
2021-01-05 05:00:00,Finland,Finland,FI,173.1,214.17,71.82,41.14,entsoe.eu,false,
2021-01-05 06:00:00,Finland,Finland,FI,176.46,218.06,71.57,42.02,entsoe.eu,false,
2021-01-05 07:00:00,Finland,Finland,FI,183.21,225.28,70.77,41.9,entsoe.eu,false,
2021-01-05 08:00:00,Finland,Finland,FI,182.42,224.16,70.94,42.57,entsoe.eu,false,
2021-01-05 09:00:00,Finland,Finland,FI,181.02,222.44,71.13,42.44,entsoe.eu,false,
2021-01-05 10:00:00,Finland,Finland,FI,184.94,226.61,70.57,41.46,entsoe.eu,false,
2021-01-05 11:00:00,Finland,Finland,FI,187.76,229.67,70.11,40.88,entsoe.eu,false,
2021-01-05 12:00:00,Finland,Finland,FI,185.85,227.97,70.37,41.22,entsoe.eu,false,
2021-01-05 13:00:00,Finland,Finland,FI,184.22,226.33,70.64,42.0,entsoe.eu,false,
2021-01-05 14:00:00,Finland,Finland,FI,180.63,222.37,71.25,42.8,entsoe.eu,false,
2021-01-05 15:00:00,Finland,Finland,FI,180.47,222.3,71.21,42.66,entsoe.eu,false,
2021-01-05 16:00:00,Finland,Finland,FI,182.56,224.72,70.81,41.98,entsoe.eu,false,
2021-01-05 17:00:00,Finland,Finland,FI,181.32,223.17,71.0,42.38,entsoe.eu,false,
2021-01-05 18:00:00,Finland,Finland,FI,176.88,218.18,71.57,42.27,entsoe.eu,false,
2021-01-05 19:00:00,Finland,Finland,FI,173.17,214.48,71.92,41.71,entsoe.eu,false,
2021-01-05 20:00:00,Finland,Finland,FI,166.15,206.88,72.76,42.39,entsoe.eu,false,
2021-01-05 21:00:00,Finland,Finland,FI,168.61,209.78,72.29,40.49,entsoe.eu,false,
2021-01-05 22:00:00,Finland,Finland,FI,174.0,215.33,71.64,38.34,entsoe.eu,false,
2021-01-05 23:00:00,Finland,Finland,FI,177.63,219.48,71.2,37.65,entsoe.eu,false,
2021-01-06 00:00:00,Finland,Finland,FI,179.67,221.81,70.69,36.47,entsoe.eu,false,
2021-01-06 01:00:00,Finland,Finland,FI,180.14,222.36,70.6,36.17,entsoe.eu,false,
2021-01-06 02:00:00,Finland,Finland,FI,180.84,222.95,70.5,36.31,entsoe.eu,false,
2021-01-06 03:00:00,Finland,Finland,FI,179.94,221.86,70.64,37.16,entsoe.eu,false,
2021-01-06 04:00:00,Finland,Finland,FI,176.59,218.22,71.26,38.71,entsoe.eu,false,
2021-01-06 05:00:00,Finland,Finland,FI,178.16,219.73,71.18,39.23,entsoe.eu,false,
2021-01-06 06:00:00,Finland,Finland,FI,175.78,216.91,71.75,40.4,entsoe.eu,false,
2021-01-06 07:00:00,Finland,Finland,FI,182.56,224.03,70.82,40.2,entsoe.eu,false,
2021-01-06 08:00:00,Finland,Finland,FI,182.54,223.9,70.85,40.67,entsoe.eu,false,
2021-01-06 09:00:00,Finland,Finland,FI,178.63,219.31,71.52,42.13,entsoe.eu,false,
2021-01-06 10:00:00,Finland,Finland,FI,180.48,221.48,71.23,41.74,entsoe.eu,false,
