Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,France,France,FR,30.84,51.15,93.53,41.37,opendata.reseaux-energies.fr,false,
2023-01-01 01:00:00,France,France,FR,31.64,52.23,93.37,40.53,opendata.reseaux-energies.fr,false,
2023-01-01 02:00:00,France,France,FR,30.67,51.2,93.41,39.79,opendata.reseaux-energies.fr,false,
2023-01-01 03:00:00,France,France,FR,31.54,52.31,93.26,39.27,opendata.reseaux-energies.fr,false,
2023-01-01 04:00:00,France,France,FR,31.59,52.37,93.21,38.28,opendata.reseaux-energies.fr,false,
2023-01-01 05:00:00,France,France,FR,34.08,55.48,92.77,38.12,opendata.reseaux-energies.fr,false,
2023-01-01 06:00:00,France,France,FR,36.06,57.91,92.36,38.17,opendata.reseaux-energies.fr,false,
2023-01-01 07:00:00,France,France,FR,38.15,60.54,91.99,37.76,opendata.reseaux-energies.fr,false,
2023-01-01 08:00:00,France,France,FR,36.17,58.52,92.29,39.66,opendata.reseaux-energies.fr,false,
2023-01-01 09:00:00,France,France,FR,33.36,55.49,92.83,40.72,opendata.reseaux-energies.fr,false,
2023-01-01 10:00:00,France,France,FR,32.01,54.02,92.91,40.18,opendata.reseaux-energies.fr,false,
2023-01-01 11:00:00,France,France,FR,33.24,55.62,92.5,40.25,opendata.reseaux-energies.fr,false,
2023-01-01 12:00:00,France,France,FR,30.48,51.81,92.91,39.67,opendata.reseaux-energies.fr,false,
2023-01-01 13:00:00,France,France,FR,29.33,49.85,93.19,37.42,opendata.reseaux-energies.fr,false,
2023-01-01 14:00:00,France,France,FR,28.6,48.41,93.33,35.85,opendata.reseaux-energies.fr,false,
2023-01-01 15:00:00,France,France,FR,28.85,47.9,93.37,34.01,opendata.reseaux-energies.fr,false,
2023-01-01 16:00:00,France,France,FR,28.04,44.88,94.07,37.85,opendata.reseaux-energies.fr,false,
2023-01-01 17:00:00,France,France,FR,24.78,40.79,94.81,39.22,opendata.reseaux-energies.fr,false,
2023-01-01 18:00:00,France,France,FR,23.67,39.55,95.01,39.23,opendata.reseaux-energies.fr,false,
2023-01-01 19:00:00,France,France,FR,23.36,39.95,94.86,38.01,opendata.reseaux-energies.fr,false,
2023-01-01 20:00:00,France,France,FR,22.87,39.83,94.83,36.56,opendata.reseaux-energies.fr,false,
2023-01-01 21:00:00,France,France,FR,22.81,39.92,94.79,35.61,opendata.reseaux-energies.fr,false,
2023-01-01 22:00:00,France,France,FR,23.2,40.36,94.7,34.96,opendata.reseaux-energies.fr,false,
2023-01-01 23:00:00,France,France,FR,24.7,42.26,94.35,34.5,opendata.reseaux-energies.fr,false,
2023-01-02 00:00:00,France,France,FR,26.06,44.05,93.96,32.48,opendata.reseaux-energies.fr,false,
2023-01-02 01:00:00,France,France,FR,26.97,45.28,93.74,32.09,opendata.reseaux-energies.fr,false,
2023-01-02 02:00:00,France,France,FR,27.76,46.26,93.57,31.18,opendata.reseaux-energies.fr,false,
2023-01-02 03:00:00,France,France,FR,27.96,46.43,93.52,29.28,opendata.reseaux-energies.fr,false,
