Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Ireland,Ireland,IE,362.78,440.92,40.42,36.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 01:00:00,Ireland,Ireland,IE,349.47,425.31,42.58,38.25,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 02:00:00,Ireland,Ireland,IE,344.61,419.58,43.33,38.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 03:00:00,Ireland,Ireland,IE,346.93,422.37,42.9,37.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 04:00:00,Ireland,Ireland,IE,358.67,436.32,40.93,35.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 05:00:00,Ireland,Ireland,IE,356.1,433.23,41.34,35.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 06:00:00,Ireland,Ireland,IE,312.64,382.02,48.41,42.85,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 07:00:00,Ireland,Ireland,IE,327.62,399.69,45.95,40.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 08:00:00,Ireland,Ireland,IE,348.67,424.45,42.58,37.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 09:00:00,Ireland,Ireland,IE,380.29,461.55,37.71,33.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 10:00:00,Ireland,Ireland,IE,458.61,553.48,25.27,23.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 11:00:00,Ireland,Ireland,IE,468.99,565.95,23.54,21.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 12:00:00,Ireland,Ireland,IE,482.34,581.71,21.39,19.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 13:00:00,Ireland,Ireland,IE,492.56,593.8,19.66,17.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 14:00:00,Ireland,Ireland,IE,488.82,589.74,20.09,17.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 15:00:00,Ireland,Ireland,IE,460.69,557.45,24.18,20.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 16:00:00,Ireland,Ireland,IE,465.24,562.5,23.47,21.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 17:00:00,Ireland,Ireland,IE,445.98,540.04,26.47,24.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 18:00:00,Ireland,Ireland,IE,449.26,543.25,26.3,24.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 19:00:00,Ireland,Ireland,IE,446.53,540.09,26.72,24.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 20:00:00,Ireland,Ireland,IE,460.79,556.16,24.81,23.95,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 21:00:00,Ireland,Ireland,IE,466.48,562.42,24.14,23.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 22:00:00,Ireland,Ireland,IE,475.99,573.59,22.62,22.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-01 23:00:00,Ireland,Ireland,IE,482.02,580.88,21.56,20.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 00:00:00,Ireland,Ireland,IE,495.95,597.0,19.42,19.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 01:00:00,Ireland,Ireland,IE,501.68,603.75,18.49,18.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 02:00:00,Ireland,Ireland,IE,501.39,603.4,18.54,18.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 03:00:00,Ireland,Ireland,IE,512.65,616.68,16.71,16.71,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 04:00:00,Ireland,Ireland,IE,521.85,627.52,15.22,15.22,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 05:00:00,Ireland,Ireland,IE,525.81,632.19,14.57,14.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 06:00:00,Ireland,Ireland,IE,534.31,642.2,13.19,13.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 07:00:00,Ireland,Ireland,IE,527.48,634.33,14.23,13.97,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 08:00:00,Ireland,Ireland,IE,511.51,615.86,16.65,16.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 09:00:00,Ireland,Ireland,IE,490.2,590.91,20.07,19.39,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 10:00:00,Ireland,Ireland,IE,450.91,545.18,26.3,25.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 11:00:00,Ireland,Ireland,IE,422.89,512.25,30.81,29.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 12:00:00,Ireland,Ireland,IE,409.82,496.09,33.22,32.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 13:00:00,Ireland,Ireland,IE,396.95,480.38,35.5,35.46,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 14:00:00,Ireland,Ireland,IE,364.61,442.25,40.76,40.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 15:00:00,Ireland,Ireland,IE,325.22,396.18,46.98,46.66,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 16:00:00,Ireland,Ireland,IE,288.81,352.92,53.08,53.08,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 17:00:00,Ireland,Ireland,IE,290.6,355.03,52.79,52.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 18:00:00,Ireland,Ireland,IE,256.21,314.52,58.37,58.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 19:00:00,Ireland,Ireland,IE,204.78,253.91,66.73,66.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 20:00:00,Ireland,Ireland,IE,149.3,188.54,75.74,75.74,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 21:00:00,Ireland,Ireland,IE,123.6,158.25,79.92,79.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 22:00:00,Ireland,Ireland,IE,122.74,157.25,80.06,80.06,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-02 23:00:00,Ireland,Ireland,IE,123.53,158.18,79.93,79.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 00:00:00,Ireland,Ireland,IE,127.51,162.87,79.28,79.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 01:00:00,Ireland,Ireland,IE,137.02,174.07,77.74,77.74,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 02:00:00,Ireland,Ireland,IE,148.98,188.16,75.8,75.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 03:00:00,Ireland,Ireland,IE,169.17,211.95,72.52,72.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 04:00:00,Ireland,Ireland,IE,200.18,248.49,67.48,67.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 05:00:00,Ireland,Ireland,IE,195.21,242.63,68.29,68.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 06:00:00,Ireland,Ireland,IE,191.41,238.16,68.9,68.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 07:00:00,Ireland,Ireland,IE,179.87,224.75,70.7,70.49,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 08:00:00,Ireland,Ireland,IE,165.6,208.04,72.97,72.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 09:00:00,Ireland,Ireland,IE,190.49,237.07,69.05,69.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 10:00:00,Ireland,Ireland,IE,211.78,262.16,65.59,65.59,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 11:00:00,Ireland,Ireland,IE,201.42,250.34,67.06,66.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 12:00:00,Ireland,Ireland,IE,186.3,233.15,69.19,67.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2023-01-03 13:00:00,Ireland,Ireland,IE,191.84,239.69,68.36,67.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
