Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Japan,Japan,JP,277.22,343.26,49.41,39.76,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 01:00:00,Japan,Japan,JP,213.38,273.4,61.06,51.16,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 02:00:00,Japan,Japan,JP,186.39,244.41,65.98,55.84,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 03:00:00,Japan,Japan,JP,186.78,245.16,65.9,55.64,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 04:00:00,Japan,Japan,JP,212.07,271.68,61.3,50.83,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 05:00:00,Japan,Japan,JP,266.15,329.93,51.45,40.94,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 06:00:00,Japan,Japan,JP,342.76,413.49,37.48,27.33,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 07:00:00,Japan,Japan,JP,412.58,491.35,24.7,15.06,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 08:00:00,Japan,Japan,JP,433.62,515.16,20.85,12.13,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 09:00:00,Japan,Japan,JP,435.92,517.61,20.44,11.98,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 10:00:00,Japan,Japan,JP,436.21,518.14,20.38,11.94,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 11:00:00,Japan,Japan,JP,436.94,519.05,20.25,11.82,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 12:00:00,Japan,Japan,JP,436.78,518.77,20.28,11.71,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 13:00:00,Japan,Japan,JP,434.6,516.49,20.67,11.78,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 14:00:00,Japan,Japan,JP,434.18,515.26,20.77,11.73,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 15:00:00,Japan,Japan,JP,433.19,510.58,21.03,11.52,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 16:00:00,Japan,Japan,JP,432.15,508.6,21.23,11.54,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 17:00:00,Japan,Japan,JP,432.99,509.32,21.09,11.63,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 18:00:00,Japan,Japan,JP,433.81,509.65,20.96,11.66,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 19:00:00,Japan,Japan,JP,433.61,509.32,20.99,11.72,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 20:00:00,Japan,Japan,JP,433.11,508.97,21.08,11.78,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 21:00:00,Japan,Japan,JP,433.59,510.38,20.97,11.79,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 22:00:00,Japan,Japan,JP,428.65,505.71,21.86,13.06,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 23:00:00,Japan,Japan,JP,388.89,463.0,29.1,20.71,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 00:00:00,Japan,Japan,JP,330.63,402.27,39.66,31.1,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 01:00:00,Japan,Japan,JP,269.25,335.79,50.84,41.97,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 02:00:00,Japan,Japan,JP,242.22,304.92,55.81,46.7,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 03:00:00,Japan,Japan,JP,244.76,307.68,55.34,46.1,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 04:00:00,Japan,Japan,JP,263.82,327.79,51.88,42.34,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 05:00:00,Japan,Japan,JP,296.92,363.79,45.84,36.18,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 06:00:00,Japan,Japan,JP,355.21,426.13,35.23,25.69,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 07:00:00,Japan,Japan,JP,417.19,493.62,23.93,14.92,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 08:00:00,Japan,Japan,JP,437.59,515.86,20.22,11.95,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 09:00:00,Japan,Japan,JP,439.29,517.97,19.9,11.81,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 10:00:00,Japan,Japan,JP,438.86,517.57,19.98,11.91,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 11:00:00,Japan,Japan,JP,438.36,516.87,20.07,11.95,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 12:00:00,Japan,Japan,JP,437.39,515.56,20.25,11.94,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 13:00:00,Japan,Japan,JP,435.53,513.18,20.6,11.91,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 14:00:00,Japan,Japan,JP,434.2,511.31,20.85,11.88,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 15:00:00,Japan,Japan,JP,430.74,507.41,21.48,12.02,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 16:00:00,Japan,Japan,JP,429.67,505.86,21.68,11.97,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 17:00:00,Japan,Japan,JP,430.53,506.15,21.55,12.01,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 18:00:00,Japan,Japan,JP,431.8,507.2,21.32,11.96,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 19:00:00,Japan,Japan,JP,432.34,507.9,21.22,11.9,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 20:00:00,Japan,Japan,JP,432.42,508.24,21.2,11.81,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 21:00:00,Japan,Japan,JP,433.02,509.86,21.07,11.74,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 22:00:00,Japan,Japan,JP,429.96,507.43,21.61,12.65,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 23:00:00,Japan,Japan,JP,408.71,484.63,25.48,17.04,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 00:00:00,Japan,Japan,JP,376.7,451.49,31.29,23.04,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 01:00:00,Japan,Japan,JP,346.6,419.24,36.77,28.4,,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 02:00:00,Japan,Japan,JP,336.31,407.34,38.66,30.09,,true,ESTIMATED_MODE_BREAKDOWN
