Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Kenya,Kenya,KE,43.48,100.4,89.29,89.29,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 01:00:00,Kenya,Kenya,KE,43.44,100.27,89.3,89.3,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 02:00:00,Kenya,Kenya,KE,42.95,100.03,89.42,89.42,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 03:00:00,Kenya,Kenya,KE,43.17,100.37,89.37,89.37,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 04:00:00,Kenya,Kenya,KE,42.54,99.15,89.52,89.52,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 05:00:00,Kenya,Kenya,KE,42.56,99.11,89.52,89.52,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 06:00:00,Kenya,Kenya,KE,37.31,91.33,90.81,90.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 07:00:00,Kenya,Kenya,KE,40.74,96.42,89.97,89.97,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 08:00:00,Kenya,Kenya,KE,41.65,97.92,89.74,89.74,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 09:00:00,Kenya,Kenya,KE,43.46,100.62,89.3,89.3,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 10:00:00,Kenya,Kenya,KE,43.68,100.8,89.24,89.24,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 11:00:00,Kenya,Kenya,KE,43.37,100.18,89.32,89.32,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 12:00:00,Kenya,Kenya,KE,47.19,105.78,88.38,88.38,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 13:00:00,Kenya,Kenya,KE,46.85,105.08,88.46,88.46,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 14:00:00,Kenya,Kenya,KE,47.08,105.08,88.4,88.4,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 15:00:00,Kenya,Kenya,KE,47.29,105.68,88.35,88.35,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 16:00:00,Kenya,Kenya,KE,46.4,104.16,88.57,88.57,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 17:00:00,Kenya,Kenya,KE,46.21,103.89,88.62,88.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 18:00:00,Kenya,Kenya,KE,42.69,98.29,89.48,89.48,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 19:00:00,Kenya,Kenya,KE,42.12,97.35,89.62,89.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 20:00:00,Kenya,Kenya,KE,42.14,97.44,89.62,89.62,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2024-01-01 21:00:00,Kenya,Kenya,KE,41.67,96.6,89.74,89.74,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
