Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2023-01-01 00:00:00,Norway,Norway,NO,35.36,63.03,94.42,87.85,entsoe.eu,false,
2023-01-01 01:00:00,Norway,Norway,NO,38.41,66.56,93.88,86.19,entsoe.eu,false,
2023-01-01 02:00:00,Norway,Norway,NO,40.94,69.61,93.41,85.05,entsoe.eu,false,
2023-01-01 03:00:00,Norway,Norway,NO,42.16,71.12,93.16,85.03,entsoe.eu,false,
2023-01-01 04:00:00,Norway,Norway,NO,42.34,71.63,93.1,84.73,entsoe.eu,false,
2023-01-01 05:00:00,Norway,Norway,NO,42.38,71.25,93.09,84.77,entsoe.eu,false,
2023-01-01 06:00:00,Norway,Norway,NO,40.93,69.22,93.33,85.35,entsoe.eu,false,
2023-01-01 07:00:00,Norway,Norway,NO,39.43,67.53,93.49,85.62,entsoe.eu,false,
2023-01-01 08:00:00,Norway,Norway,NO,35.32,63.02,94.25,87.14,entsoe.eu,false,
2023-01-01 09:00:00,Norway,Norway,NO,31.77,58.98,94.95,88.02,entsoe.eu,false,
2023-01-01 10:00:00,Norway,Norway,NO,29.93,57.07,95.3,88.9,entsoe.eu,false,
2023-01-01 11:00:00,Norway,Norway,NO,27.72,54.57,95.61,89.34,entsoe.eu,false,
2023-01-01 12:00:00,Norway,Norway,NO,28.88,55.72,95.51,89.42,entsoe.eu,false,
2023-01-01 13:00:00,Norway,Norway,NO,27.52,53.88,95.65,89.21,entsoe.eu,false,
2023-01-01 14:00:00,Norway,Norway,NO,26.42,52.68,95.82,90.31,entsoe.eu,false,
2023-01-01 15:00:00,Norway,Norway,NO,25.94,52.05,96.08,92.14,entsoe.eu,false,
2023-01-01 16:00:00,Norway,Norway,NO,24.03,49.82,96.46,92.5,entsoe.eu,false,
2023-01-01 17:00:00,Norway,Norway,NO,24.72,50.24,96.4,91.92,entsoe.eu,false,
2023-01-01 18:00:00,Norway,Norway,NO,24.51,50.24,96.43,92.09,entsoe.eu,false,
2023-01-01 19:00:00,Norway,Norway,NO,24.7,50.77,96.32,91.73,entsoe.eu,false,
2023-01-01 20:00:00,Norway,Norway,NO,26.81,53.66,95.85,91.32,entsoe.eu,false,
2023-01-01 21:00:00,Norway,Norway,NO,30.87,58.49,95.18,89.57,entsoe.eu,false,
2023-01-01 22:00:00,Norway,Norway,NO,33.18,61.58,94.78,88.86,entsoe.eu,false,
2023-01-01 23:00:00,Norway,Norway,NO,34.34,63.4,94.59,88.55,entsoe.eu,false,
2023-01-02 00:00:00,Norway,Norway,NO,37.66,67.51,94.14,87.8,entsoe.eu,false,
2023-01-02 01:00:00,Norway,Norway,NO,38.79,68.81,93.99,87.28,entsoe.eu,false,
2023-01-02 02:00:00,Norway,Norway,NO,38.76,68.72,94.03,87.32,entsoe.eu,false,
2023-01-02 03:00:00,Norway,Norway,NO,39.35,69.3,94.02,87.62,entsoe.eu,false,
2023-01-02 04:00:00,Norway,Norway,NO,41.74,72.03,93.77,88.07,entsoe.eu,false,
2023-01-02 05:00:00,Norway,Norway,NO,39.82,69.85,94.25,89.91,entsoe.eu,false,
2023-01-02 06:00:00,Norway,Norway,NO,27.84,55.86,95.96,94.01,entsoe.eu,false,
2023-01-02 07:00:00,Norway,Norway,NO,18.16,44.76,97.15,95.43,entsoe.eu,false,
2023-01-02 08:00:00,Norway,Norway,NO,13.92,39.56,97.76,94.85,entsoe.eu,false,
2023-01-02 09:00:00,Norway,Norway,NO,20.43,46.51,97.1,93.97,entsoe.eu,false,
2023-01-02 10:00:00,Norway,Norway,NO,19.87,46.03,97.16,94.55,entsoe.eu,false,
2023-01-02 11:00:00,Norway,Norway,NO,17.07,43.18,97.44,95.03,entsoe.eu,false,
2023-01-02 12:00:00,Norway,Norway,NO,19.47,45.9,97.13,94.21,entsoe.eu,false,
2023-01-02 13:00:00,Norway,Norway,NO,18.16,44.33,97.36,94.25,entsoe.eu,false,
2023-01-02 14:00:00,Norway,Norway,NO,16.24,42.18,97.58,95.07,entsoe.eu,false,
2023-01-02 15:00:00,Norway,Norway,NO,15.43,41.18,97.71,96.05,entsoe.eu,false,
2023-01-02 16:00:00,Norway,Norway,NO,9.48,34.85,98.29,96.44,entsoe.eu,false,
2023-01-02 17:00:00,Norway,Norway,NO,7.37,32.76,98.42,97.03,entsoe.eu,false,
2023-01-02 18:00:00,Norway,Norway,NO,8.22,33.71,98.24,96.15,entsoe.eu,false,
2023-01-02 19:00:00,Norway,Norway,NO,9.31,34.82,98.09,95.44,entsoe.eu,false,
2023-01-02 20:00:00,Norway,Norway,NO,9.31,34.77,98.09,94.29,entsoe.eu,false,
2023-01-02 21:00:00,Norway,Norway,NO,14.92,40.99,97.48,93.47,entsoe.eu,false,
2023-01-02 22:00:00,Norway,Norway,NO,24.88,52.03,96.32,92.79,entsoe.eu,false,
2023-01-02 23:00:00,Norway,Norway,NO,23.65,50.89,96.33,93.18,entsoe.eu,false,
