Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Seychelles,Seychelles,SC,437.66,542.62,23.89,23.89,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 01:00:00,Seychelles,Seychelles,SC,440.81,546.2,23.34,23.34,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 02:00:00,Seychelles,Seychelles,SC,457.34,565.0,20.46,20.46,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 03:00:00,Seychelles,Seychelles,SC,467.39,576.41,18.71,18.71,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 04:00:00,Seychelles,Seychelles,SC,542.55,661.79,5.64,5.64,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 05:00:00,Seychelles,Seychelles,SC,434.72,539.21,24.4,24.4,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 06:00:00,Seychelles,Seychelles,SC,451.29,558.18,21.52,21.52,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 07:00:00,Seychelles,Seychelles,SC,483.25,594.86,15.96,15.96,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 08:00:00,Seychelles,Seychelles,SC,484.03,595.74,15.82,15.82,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 09:00:00,Seychelles,Seychelles,SC,485.91,597.88,15.49,15.49,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 10:00:00,Seychelles,Seychelles,SC,495.58,608.89,13.81,13.81,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 11:00:00,Seychelles,Seychelles,SC,492.36,605.22,14.37,14.37,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 12:00:00,Seychelles,Seychelles,SC,497.09,610.66,13.55,13.55,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 13:00:00,Seychelles,Seychelles,SC,503.47,617.93,12.44,12.44,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 14:00:00,Seychelles,Seychelles,SC,501.94,616.18,12.71,12.71,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 15:00:00,Seychelles,Seychelles,SC,503.59,618.06,12.42,12.42,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 16:00:00,Seychelles,Seychelles,SC,493.22,606.26,14.22,14.22,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 17:00:00,Seychelles,Seychelles,SC,491.42,604.2,14.53,14.53,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 18:00:00,Seychelles,Seychelles,SC,490.79,603.47,14.65,14.65,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 19:00:00,Seychelles,Seychelles,SC,490.66,603.33,14.67,14.67,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
2022-01-01 20:00:00,Seychelles,Seychelles,SC,490.01,602.6,14.78,14.78,Electricity Maps Estimation,true,ESTIMATED_GENERAL_PURPOSE_ZONE_MODEL
