Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Slovenia,Slovenia,SI,180.73,205.06,77.87,39.11,entsoe.eu,false,
2022-01-01 01:00:00,Slovenia,Slovenia,SI,189.46,214.29,76.69,37.03,entsoe.eu,false,
2022-01-01 02:00:00,Slovenia,Slovenia,SI,193.64,218.58,76.15,35.58,entsoe.eu,false,
2022-01-01 03:00:00,Slovenia,Slovenia,SI,193.67,218.44,76.1,33.99,entsoe.eu,false,
2022-01-01 04:00:00,Slovenia,Slovenia,SI,195.76,220.88,75.64,34.29,entsoe.eu,false,
2022-01-01 05:00:00,Slovenia,Slovenia,SI,201.46,227.28,74.79,34.95,entsoe.eu,false,
2022-01-01 06:00:00,Slovenia,Slovenia,SI,202.89,228.79,74.28,36.43,entsoe.eu,false,
2022-01-01 07:00:00,Slovenia,Slovenia,SI,184.76,207.81,77.56,41.71,entsoe.eu,false,
2022-01-01 08:00:00,Slovenia,Slovenia,SI,176.5,199.27,78.5,42.79,entsoe.eu,false,
2022-01-01 09:00:00,Slovenia,Slovenia,SI,171.57,193.2,79.41,41.89,entsoe.eu,false,
2022-01-01 10:00:00,Slovenia,Slovenia,SI,161.68,182.73,80.75,43.47,entsoe.eu,false,
2022-01-01 11:00:00,Slovenia,Slovenia,SI,162.03,182.87,80.68,43.38,entsoe.eu,false,
2022-01-01 12:00:00,Slovenia,Slovenia,SI,165.25,185.29,80.54,40.91,entsoe.eu,false,
2022-01-01 13:00:00,Slovenia,Slovenia,SI,167.81,187.6,80.28,40.73,entsoe.eu,false,
2022-01-01 14:00:00,Slovenia,Slovenia,SI,182.69,200.96,82.41,45.25,entsoe.eu,false,
2022-01-01 15:00:00,Slovenia,Slovenia,SI,163.67,179.98,84.87,49.85,entsoe.eu,false,
2022-01-01 16:00:00,Slovenia,Slovenia,SI,157.58,174.25,85.27,52.65,entsoe.eu,false,
2022-01-01 17:00:00,Slovenia,Slovenia,SI,158.96,175.96,85.0,53.39,entsoe.eu,false,
2022-01-01 18:00:00,Slovenia,Slovenia,SI,158.37,175.8,84.89,53.83,entsoe.eu,false,
2022-01-01 19:00:00,Slovenia,Slovenia,SI,168.78,186.69,83.87,51.32,entsoe.eu,false,
2022-01-01 20:00:00,Slovenia,Slovenia,SI,164.4,183.33,81.72,44.58,entsoe.eu,false,
2022-01-01 21:00:00,Slovenia,Slovenia,SI,177.52,197.23,80.09,42.32,entsoe.eu,false,
2022-01-01 22:00:00,Slovenia,Slovenia,SI,188.75,210.22,78.02,37.59,entsoe.eu,false,
2022-01-01 23:00:00,Slovenia,Slovenia,SI,193.63,217.79,76.85,33.33,entsoe.eu,false,
2022-01-02 00:00:00,Slovenia,Slovenia,SI,193.97,218.65,76.61,33.9,entsoe.eu,false,
2022-01-02 01:00:00,Slovenia,Slovenia,SI,195.37,219.87,76.19,32.38,entsoe.eu,false,
2022-01-02 02:00:00,Slovenia,Slovenia,SI,197.24,222.26,75.78,32.23,entsoe.eu,false,
2022-01-02 03:00:00,Slovenia,Slovenia,SI,202.03,227.9,74.85,32.92,entsoe.eu,false,
2022-01-02 04:00:00,Slovenia,Slovenia,SI,211.16,237.22,73.88,33.46,entsoe.eu,false,
2022-01-02 05:00:00,Slovenia,Slovenia,SI,215.38,241.83,73.21,34.09,entsoe.eu,false,
2022-01-02 06:00:00,Slovenia,Slovenia,SI,201.26,227.63,74.82,37.17,entsoe.eu,false,
2022-01-02 07:00:00,Slovenia,Slovenia,SI,169.71,194.18,79.08,41.33,entsoe.eu,false,
2022-01-02 08:00:00,Slovenia,Slovenia,SI,165.28,186.59,81.01,42.64,entsoe.eu,false,
2022-01-02 09:00:00,Slovenia,Slovenia,SI,150.84,171.29,82.92,43.76,entsoe.eu,false,
2022-01-02 10:00:00,Slovenia,Slovenia,SI,144.42,165.57,83.59,45.32,entsoe.eu,false,
2022-01-02 11:00:00,Slovenia,Slovenia,SI,146.19,167.63,83.38,45.36,entsoe.eu,false,
2022-01-02 12:00:00,Slovenia,Slovenia,SI,144.38,165.19,83.64,43.79,entsoe.eu,false,
2022-01-02 13:00:00,Slovenia,Slovenia,SI,151.1,171.41,84.55,48.2,entsoe.eu,false,
2022-01-02 14:00:00,Slovenia,Slovenia,SI,147.68,167.72,84.95,49.41,entsoe.eu,false,
2022-01-02 15:00:00,Slovenia,Slovenia,SI,146.16,164.11,86.87,56.06,entsoe.eu,false,
2022-01-02 16:00:00,Slovenia,Slovenia,SI,144.83,162.31,86.89,56.69,entsoe.eu,false,
2022-01-02 17:00:00,Slovenia,Slovenia,SI,151.78,169.16,86.34,57.02,entsoe.eu,false,
2022-01-02 18:00:00,Slovenia,Slovenia,SI,149.19,167.77,85.87,55.35,entsoe.eu,false,
2022-01-02 19:00:00,Slovenia,Slovenia,SI,144.86,165.39,83.81,51.21,entsoe.eu,false,
2022-01-02 20:00:00,Slovenia,Slovenia,SI,146.15,167.38,83.6,49.64,entsoe.eu,false,
2022-01-02 21:00:00,Slovenia,Slovenia,SI,181.47,203.59,79.9,45.94,entsoe.eu,false,
2022-01-02 22:00:00,Slovenia,Slovenia,SI,195.87,219.26,77.83,43.29,entsoe.eu,false,
2022-01-02 23:00:00,Slovenia,Slovenia,SI,206.24,230.04,76.56,39.07,entsoe.eu,false,
2022-01-03 00:00:00,Slovenia,Slovenia,SI,214.44,237.74,75.48,35.31,entsoe.eu,false,
2022-01-03 01:00:00,Slovenia,Slovenia,SI,214.55,237.74,75.39,34.74,entsoe.eu,false,
2022-01-03 02:00:00,Slovenia,Slovenia,SI,209.55,233.71,75.34,34.94,entsoe.eu,false,
2022-01-03 03:00:00,Slovenia,Slovenia,SI,207.44,232.6,75.19,36.56,entsoe.eu,false,
2022-01-03 04:00:00,Slovenia,Slovenia,SI,244.81,269.71,71.64,36.07,entsoe.eu,false,
2022-01-03 05:00:00,Slovenia,Slovenia,SI,270.18,295.07,69.2,37.09,entsoe.eu,false,
2022-01-03 06:00:00,Slovenia,Slovenia,SI,255.46,280.82,70.21,41.18,entsoe.eu,false,
2022-01-03 07:00:00,Slovenia,Slovenia,SI,234.96,258.77,73.09,45.99,entsoe.eu,false,
2022-01-03 08:00:00,Slovenia,Slovenia,SI,244.06,268.38,72.6,45.98,entsoe.eu,false,
2022-01-03 09:00:00,Slovenia,Slovenia,SI,236.3,259.21,73.71,47.03,entsoe.eu,false,
2022-01-03 10:00:00,Slovenia,Slovenia,SI,236.41,259.74,73.34,46.21,entsoe.eu,false,
2022-01-03 11:00:00,Slovenia,Slovenia,SI,232.53,256.09,73.4,45.62,entsoe.eu,false,
