Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,USA,USA,US,374.57,439.35,39.89,19.98,,false,
2021-01-01 01:00:00,USA,USA,US,365.96,430.07,40.92,20.66,,false,
2021-01-01 02:00:00,USA,USA,US,361.52,425.07,41.56,20.74,,false,
2021-01-01 03:00:00,USA,USA,US,358.47,421.38,42.17,20.67,,false,
2021-01-01 04:00:00,USA,USA,US,357.36,419.38,42.79,20.56,,false,
2021-01-01 05:00:00,USA,USA,US,355.06,416.5,43.34,20.37,,false,
2021-01-01 06:00:00,USA,USA,US,355.05,416.06,43.54,19.98,,false,
2021-01-01 07:00:00,USA,USA,US,355.01,415.64,43.79,19.84,,false,
2021-01-01 08:00:00,USA,USA,US,354.31,414.77,43.95,19.72,,false,
2021-01-01 09:00:00,USA,USA,US,354.8,415.47,43.81,19.49,,false,
2021-01-01 10:00:00,USA,USA,US,355.39,416.1,43.73,19.44,,false,
2021-01-01 11:00:00,USA,USA,US,358.75,419.46,43.48,19.35,,false,
2021-01-01 12:00:00,USA,USA,US,361.11,422.21,43.12,19.34,,false,
2021-01-01 13:00:00,USA,USA,US,361.99,423.57,42.81,19.56,,false,
2021-01-01 14:00:00,USA,USA,US,363.09,425.31,42.34,19.68,,false,
2021-01-01 15:00:00,USA,USA,US,364.75,427.33,42.07,19.91,,false,
2021-01-01 16:00:00,USA,USA,US,362.42,424.53,42.73,20.9,,false,
2021-01-01 17:00:00,USA,USA,US,360.34,422.42,43.08,21.35,,false,
2021-01-01 18:00:00,USA,USA,US,361.52,423.87,42.89,21.02,,false,
2021-01-01 19:00:00,USA,USA,US,363.25,426.08,42.4,20.39,,false,
2021-01-01 20:00:00,USA,USA,US,365.35,428.76,41.81,19.67,,false,
2021-01-01 21:00:00,USA,USA,US,369.41,433.69,40.94,19.0,,false,
2021-01-01 22:00:00,USA,USA,US,379.28,444.63,39.4,18.0,,false,
2021-01-01 23:00:00,USA,USA,US,389.93,456.23,37.83,16.87,,false,
2021-01-02 00:00:00,USA,USA,US,394.71,461.39,37.08,16.2,,false,
